Vehicle Type,Pickup Location,Drop Location,Booking Value,Ride Distance
Uber Go,Dasarahalli,Varthur,1402.59,17.28
Go Sedan,Jayanagar,Koramangala,1049.59,21.83
eBike,Ulsoor,Malleswaram,106.16,7.28
Uber Go,Mahadevapura,Varthur,277.79,1.92
UberXL,CV Raman Nagar,KR Puram,0.0,0.0
Premier,Domlur,Bellandur,0.0,0.0
eBike,Devanahalli,HSR Layout,1800.13,20.68
Non-AC Taxi,Hosur Road,Domlur,0.0,0.0
Non-AC Taxi,Vijayanagar,Banashankari,897.96,20.96
Non-AC Taxi,Banashankari,Shivaji Nagar,0.0,0.0
eBike,Ulsoor,Mahadevapura,756.44,21.18
UberXL,Vidyaranyapura,Banashankari,382.31,22.83
Premier,Basaveshwaranagar,Benson Town,0.0,0.0
Premier,Kadugodi,Devanahalli,0.0,0.0
Non-AC Taxi,Vidyaranyapura,MG Road,0.0,0.0
Uber Go,Basaveshwaranagar,Koramangala,1494.23,16.05
Premier,Hennur,Bellandur,1062.46,8.94
eBike,Hulimavu,Yeshwanthpur,0.0,0.0
Moto,Jayanagar,Whitefield,0.0,0.0
Moto,Yeshwanthpur,Cox Town,1879.23,4.75
Go Sedan,Lingarajapuram,Magadi Road,0.0,0.0
Go Sedan,Dasarahalli,Richmond Town,256.01,5.99
Moto,Varthur,KR Puram,0.0,0.0
Moto,Yeshwanthpur,Richmond Town,278.97,20.39
eBike,Indiranagar,Benson Town,1670.77,5.8
UberXL,Kammanahalli,MG Road,1491.26,23.5
Uber Go,Sarjapur Road,Whitefield,288.67,3.21
eBike,Nagarbhavi,Shivaji Nagar,261.0,13.0
Uber Go,Bellandur,JP Nagar,292.78,4.65
Moto,Rajajinagar,Shivaji Nagar,1347.33,6.0
Premier,Hormavu,Basavanagudi,108.74,4.32
Non-AC Taxi,Indiranagar,Bannerghatta Road,0.0,0.0
Uber Go,Hennur,Hormavu,298.64,2.8
eBike,JP Nagar,Benson Town,0.0,0.0
Moto,Hosur Road,Lingarajapuram,161.5,1.04
UberXL,JP Nagar,Domlur,1662.06,9.42
Non-AC Taxi,HSR Layout,CV Raman Nagar,0.0,0.0
eBike,Yeshwanthpur,Vijayanagar,0.0,0.0
Non-AC Taxi,Magadi Road,Yelahanka,1235.8,2.84
Go Sedan,Vidyaranyapura,Varthur,0.0,0.0
UberXL,Yeshwanthpur,Dasarahalli,77.56,28.38
Go Sedan,Vijayanagar,MG Road,0.0,0.0
Go Sedan,Shivaji Nagar,Kudlu Gate,1012.02,19.2
Non-AC Taxi,Rajajinagar,CV Raman Nagar,0.0,0.0
Uber Go,Richmond Town,Bommanahalli,1334.53,1.41
eBike,Anekal,Hormavu,658.27,12.14
Uber Go,Sarjapur Road,Bommanahalli,0.0,0.0
Non-AC Taxi,Jayanagar,RT Nagar,1567.82,15.95
Premier,Mahadevapura,Dasarahalli,0.0,0.0
Moto,Koramangala,Koramangala,591.97,20.02
Non-AC Taxi,HSR Layout,Kammanahalli,229.12,21.63
Uber Go,RT Nagar,Indiranagar,1471.93,11.68
Non-AC Taxi,Vijayanagar,Kadugodi,0.0,0.0
eBike,KR Puram,Mahadevapura,70.37,5.41
Uber Go,Kengeri,Kudlu Gate,82.46,17.0
Non-AC Taxi,Banashankari,Yelahanka,0.0,0.0
Premier,Whitefield,CV Raman Nagar,1203.93,11.43
UberXL,BTM Layout,Hebbal,985.98,29.08
Moto,Yelahanka,Indiranagar,0.0,0.0
Moto,Vijayanagar,Frazer Town,0.0,0.0
eBike,Devanahalli,Vijayanagar,1615.1,2.01
Moto,Cox Town,Bellandur,0.0,0.0
Premier,Hennur,Koramangala,1657.93,29.49
Moto,Sarjapur Road,HSR Layout,0.0,0.0
Premier,Varthur,Marathahalli,1155.45,17.77
Premier,Hosur Road,Richmond Town,0.0,0.0
Moto,Bommanahalli,Bommanahalli,69.77,11.58
Moto,MG Road,RT Nagar,0.0,0.0
eBike,Basavanagudi,Rajajinagar,1841.42,11.86
eBike,Kengeri,KR Puram,0.0,0.0
Uber Go,Mahadevapura,Electronic City,0.0,0.0
Non-AC Taxi,Kudlu Gate,Varthur,0.0,0.0
Moto,Varthur,Sadashivanagar,1442.5,22.33
Premier,JP Nagar,Mahadevapura,0.0,0.0
Non-AC Taxi,CV Raman Nagar,MG Road,1439.39,19.97
eBike,HSR Layout,Banashankari,0.0,0.0
Moto,Devanahalli,Marathahalli,0.0,0.0
Uber Go,RT Nagar,Vidyaranyapura,924.21,4.33
Premier,BTM Layout,Kadugodi,1040.66,7.14
eBike,Banashankari,Sarjapur Road,0.0,0.0
eBike,Cox Town,Hosur Road,0.0,0.0
Go Sedan,Hosur Road,Hosur Road,0.0,0.0
UberXL,Hormavu,JP Nagar,1112.02,9.78
Uber Go,Sarjapur Road,Kudlu Gate,437.41,25.26
UberXL,Bellandur,JP Nagar,0.0,0.0
eBike,Koramangala,Richmond Town,0.0,0.0
Go Sedan,Lingarajapuram,Indiranagar,0.0,0.0
Non-AC Taxi,Hosur Road,Ulsoor,0.0,0.0
UberXL,Hebbal,Ulsoor,527.61,9.14
eBike,Rajajinagar,Bommanahalli,562.21,21.55
Uber Go,Basavanagudi,Sarjapur Road,1639.12,22.59
Non-AC Taxi,Whitefield,Yeshwanthpur,233.98,12.47
Premier,Bellandur,Basavanagudi,1523.99,22.69
eBike,Dasarahalli,Kadugodi,1865.65,27.58
eBike,Indiranagar,Hebbal,0.0,0.0
Moto,Lingarajapuram,Basaveshwaranagar,0.0,0.0
Go Sedan,Ulsoor,Vidyaranyapura,0.0,0.0
Moto,Bommanahalli,Koramangala,0.0,0.0
Go Sedan,Yelahanka,Sarjapur Road,1171.0,4.05
Premier,Hulimavu,Vidyaranyapura,0.0,0.0
UberXL,Kadugodi,Sarjapur Road,0.0,0.0
UberXL,Kengeri,JP Nagar,1721.88,4.33
UberXL,Benson Town,Vijayanagar,648.87,10.74
Uber Go,Indiranagar,Nagarbhavi,0.0,0.0
Go Sedan,Koramangala,Cox Town,176.03,7.28
eBike,Hormavu,Jayanagar,0.0,0.0
Premier,Domlur,RT Nagar,754.9,23.2
Moto,Devanahalli,Frazer Town,0.0,0.0
UberXL,Hormavu,Devanahalli,0.0,0.0
Moto,Whitefield,Varthur,249.62,16.48
Non-AC Taxi,Bellandur,Hennur,0.0,0.0
Moto,Domlur,Banashankari,647.34,15.38
Uber Go,Anekal,Basavanagudi,0.0,0.0
Premier,Hebbal,MG Road,1186.96,6.45
UberXL,Domlur,Magadi Road,0.0,0.0
UberXL,Kengeri,Ulsoor,1341.7,28.32
Premier,Magadi Road,Banashankari,1900.94,26.25
eBike,Shivaji Nagar,Sadashivanagar,0.0,0.0
Moto,Vidyaranyapura,Richmond Town,843.69,6.07
UberXL,Hormavu,Domlur,1492.09,27.47
eBike,Basaveshwaranagar,Bellandur,0.0,0.0
Premier,Whitefield,Frazer Town,0.0,0.0
Non-AC Taxi,Sarjapur Road,RT Nagar,84.62,3.63
Non-AC Taxi,Devanahalli,HSR Layout,894.1,20.13
eBike,MG Road,Jayanagar,154.12,9.36
Moto,Ulsoor,Richmond Town,0.0,0.0
UberXL,Bannerghatta Road,Kudlu Gate,496.47,17.49
Premier,Whitefield,Kudlu Gate,0.0,0.0
Non-AC Taxi,Rajajinagar,Banashankari,0.0,0.0
UberXL,Marathahalli,CV Raman Nagar,113.87,6.68
UberXL,Bommanahalli,CV Raman Nagar,225.27,24.14
UberXL,Whitefield,Varthur,1708.82,5.17
UberXL,Koramangala,Hebbal,498.54,22.63
Premier,Varthur,Shivaji Nagar,1458.0,18.65
eBike,Kadugodi,Marathahalli,0.0,0.0
UberXL,Ulsoor,Sadashivanagar,342.56,12.76
Uber Go,Kammanahalli,Frazer Town,1927.14,7.03
Moto,Yeshwanthpur,Hebbal,1022.72,28.83
UberXL,Cox Town,Basavanagudi,1841.46,2.18
Go Sedan,KR Puram,Domlur,1647.19,5.59
Non-AC Taxi,Domlur,Kudlu Gate,0.0,0.0
Go Sedan,Kammanahalli,Malleswaram,0.0,0.0
eBike,Whitefield,Dasarahalli,530.54,22.41
UberXL,MG Road,Anekal,0.0,0.0
Non-AC Taxi,Yelahanka,Hormavu,668.45,8.16
eBike,Hosur Road,Electronic City,0.0,0.0
Non-AC Taxi,Hulimavu,Dasarahalli,0.0,0.0
eBike,Kadugodi,Ulsoor,1791.99,2.68
Moto,Sarjapur Road,Ulsoor,0.0,0.0
Premier,Marathahalli,Devanahalli,1533.0,25.18
Go Sedan,Sarjapur Road,Frazer Town,578.51,7.2
UberXL,Nagarbhavi,Kadugodi,59.54,28.05
Go Sedan,Marathahalli,Koramangala,0.0,0.0
Moto,Hulimavu,Kengeri,0.0,0.0
Non-AC Taxi,BTM Layout,Richmond Town,1360.32,6.31
eBike,Devanahalli,Richmond Town,0.0,0.0
Premier,Kadugodi,Hormavu,0.0,0.0
eBike,Hulimavu,Vidyaranyapura,392.13,22.36
Moto,Frazer Town,Nagarbhavi,308.75,2.31
Go Sedan,Sarjapur Road,Domlur,1796.12,12.38
Non-AC Taxi,CV Raman Nagar,Ulsoor,1395.68,27.62
Premier,Bannerghatta Road,Jayanagar,1917.43,2.39
Non-AC Taxi,Nagarbhavi,Hennur,885.9,19.15
Non-AC Taxi,Benson Town,Hennur,0.0,0.0
Moto,Shivaji Nagar,Vidyaranyapura,548.2,18.93
Go Sedan,Vidyaranyapura,Electronic City,1149.92,29.24
eBike,Malleswaram,Bellandur,0.0,0.0
Premier,Mahadevapura,Yelahanka,215.13,17.83
Premier,Benson Town,Mahadevapura,0.0,0.0
Moto,MG Road,Cox Town,722.81,18.09
Moto,Anekal,Jayanagar,128.6,27.24
eBike,Lingarajapuram,Mahadevapura,1377.38,18.29
Non-AC Taxi,MG Road,Devanahalli,721.92,19.77
Non-AC Taxi,KR Puram,Kengeri,1811.3,16.6
Go Sedan,Benson Town,Koramangala,310.19,13.79
Uber Go,Hosur Road,Bellandur,0.0,0.0
Moto,Bannerghatta Road,CV Raman Nagar,954.62,1.12
Moto,Yelahanka,KR Puram,1926.39,28.54
UberXL,Magadi Road,Devanahalli,0.0,0.0
Premier,Frazer Town,Marathahalli,569.91,3.48
eBike,Ulsoor,Vijayanagar,0.0,0.0
Go Sedan,Banashankari,Domlur,1068.68,22.03
eBike,Bannerghatta Road,Bannerghatta Road,1829.7,11.98
Moto,Kammanahalli,Kadugodi,1856.2,12.43
UberXL,Domlur,Magadi Road,527.96,11.48
Moto,Kudlu Gate,Basavanagudi,1518.43,10.91
eBike,Bannerghatta Road,Hennur,0.0,0.0
UberXL,Hosur Road,Ulsoor,1342.02,22.29
eBike,Koramangala,Devanahalli,0.0,0.0
Uber Go,Electronic City,Sarjapur Road,0.0,0.0
Premier,Basavanagudi,Sarjapur Road,1876.66,6.96
Go Sedan,Basaveshwaranagar,CV Raman Nagar,1812.55,24.42
Moto,Kammanahalli,Yeshwanthpur,1772.22,29.15
Non-AC Taxi,Bannerghatta Road,Sarjapur Road,1185.95,12.61
Moto,Bannerghatta Road,Indiranagar,0.0,0.0
Premier,Anekal,Bellandur,1449.74,8.52
Go Sedan,Bannerghatta Road,Richmond Town,560.4,21.66
Non-AC Taxi,Magadi Road,Hormavu,481.35,20.12
UberXL,Yelahanka,HSR Layout,1581.86,11.61
Non-AC Taxi,MG Road,Dasarahalli,0.0,0.0
UberXL,Hosur Road,Devanahalli,1695.26,5.55
Go Sedan,Vidyaranyapura,Ulsoor,954.87,8.06
Premier,Benson Town,HSR Layout,1723.23,1.43
Non-AC Taxi,Kengeri,Varthur,174.37,18.35
eBike,Yeshwanthpur,KR Puram,485.87,17.34
Non-AC Taxi,Yelahanka,Sarjapur Road,0.0,0.0
UberXL,Yeshwanthpur,Mahadevapura,0.0,0.0
eBike,Frazer Town,Malleswaram,480.77,29.05
Non-AC Taxi,Basavanagudi,Varthur,0.0,0.0
UberXL,Mahadevapura,Electronic City,0.0,0.0
Uber Go,Kadugodi,KR Puram,0.0,0.0
UberXL,Yelahanka,MG Road,0.0,0.0
Uber Go,Kammanahalli,Marathahalli,1176.11,3.83
Go Sedan,Hennur,Electronic City,983.93,22.84
Premier,BTM Layout,Benson Town,0.0,0.0
Go Sedan,Bommanahalli,Marathahalli,0.0,0.0
Moto,Sadashivanagar,Hennur,0.0,0.0
Go Sedan,Magadi Road,Koramangala,658.63,5.15
eBike,Devanahalli,Kadugodi,1917.95,21.67
Uber Go,Mahadevapura,Bommanahalli,1096.28,25.79
Moto,Malleswaram,Nagarbhavi,766.07,25.94
Go Sedan,Sadashivanagar,Rajajinagar,538.93,29.67
Non-AC Taxi,Hormavu,Malleswaram,544.3,21.1
Go Sedan,Basaveshwaranagar,Lingarajapuram,0.0,0.0
Uber Go,Domlur,Jayanagar,96.13,10.12
Premier,Benson Town,Hebbal,1164.36,7.72
UberXL,Yelahanka,Indiranagar,118.73,10.74
Uber Go,Domlur,Hulimavu,192.08,7.46
Non-AC Taxi,Magadi Road,Anekal,0.0,0.0
Premier,Indiranagar,RT Nagar,0.0,0.0
Go Sedan,Varthur,Sadashivanagar,402.86,23.23
Uber Go,Bommanahalli,JP Nagar,0.0,0.0
Non-AC Taxi,Basaveshwaranagar,CV Raman Nagar,1749.34,8.69
Non-AC Taxi,RT Nagar,Shivaji Nagar,347.53,11.12
Go Sedan,Hebbal,Whitefield,159.0,23.91
Non-AC Taxi,Devanahalli,Yeshwanthpur,1151.32,29.65
Uber Go,MG Road,Sarjapur Road,0.0,0.0
Moto,Rajajinagar,Yelahanka,0.0,0.0
Moto,Hebbal,Ulsoor,1398.37,22.42
eBike,Sadashivanagar,Mahadevapura,236.35,8.22
Moto,Ulsoor,Nagarbhavi,0.0,0.0
Go Sedan,Koramangala,Lingarajapuram,0.0,0.0
Uber Go,HSR Layout,Frazer Town,0.0,0.0
Uber Go,Electronic City,CV Raman Nagar,0.0,0.0
Go Sedan,Magadi Road,Varthur,1111.59,10.69
Go Sedan,Bannerghatta Road,KR Puram,1294.28,16.81
Moto,Shivaji Nagar,Kudlu Gate,1588.62,28.41
Premier,Varthur,Yelahanka,144.74,3.94
UberXL,Marathahalli,Sadashivanagar,1787.41,4.46
Go Sedan,Vidyaranyapura,Lingarajapuram,80.15,3.06
UberXL,Marathahalli,Hulimavu,1173.56,8.52
Non-AC Taxi,Nagarbhavi,Hennur,926.57,7.66
Uber Go,Basavanagudi,Yeshwanthpur,1760.99,7.96
Moto,Jayanagar,Devanahalli,1854.99,10.35
UberXL,Yeshwanthpur,Richmond Town,1673.56,9.91
Uber Go,Vijayanagar,Kammanahalli,320.3,26.37
Go Sedan,CV Raman Nagar,Banashankari,463.51,13.68
Non-AC Taxi,Varthur,Dasarahalli,777.49,10.42
eBike,Ulsoor,Devanahalli,0.0,0.0
Non-AC Taxi,Marathahalli,Dasarahalli,0.0,0.0
Moto,Kammanahalli,Yeshwanthpur,1033.74,15.08
Moto,Kadugodi,Frazer Town,0.0,0.0
Uber Go,Hosur Road,Hennur,860.15,14.51
eBike,Kengeri,Kengeri,1548.85,25.07
Premier,Rajajinagar,Vijayanagar,1676.97,23.88
Moto,Varthur,KR Puram,0.0,0.0
eBike,MG Road,Electronic City,0.0,0.0
Non-AC Taxi,Sarjapur Road,HSR Layout,0.0,0.0
Non-AC Taxi,Vijayanagar,Hennur,0.0,0.0
Go Sedan,Devanahalli,Kammanahalli,0.0,0.0
Go Sedan,Koramangala,Cox Town,0.0,0.0
Non-AC Taxi,Bommanahalli,Sadashivanagar,0.0,0.0
Go Sedan,Malleswaram,HSR Layout,1036.7,2.54
eBike,Devanahalli,Banashankari,0.0,0.0
eBike,HSR Layout,Bellandur,0.0,0.0
Uber Go,Dasarahalli,Nagarbhavi,1337.7,6.17
Uber Go,CV Raman Nagar,Basaveshwaranagar,0.0,0.0
Non-AC Taxi,Magadi Road,Sadashivanagar,825.43,26.08
Moto,Magadi Road,KR Puram,0.0,0.0
UberXL,Hennur,Anekal,418.17,2.05
Go Sedan,Nagarbhavi,Electronic City,1100.3,22.55
Non-AC Taxi,Kengeri,Devanahalli,0.0,0.0
Moto,Banashankari,Bommanahalli,395.25,23.4
Moto,Frazer Town,Hosur Road,173.71,6.93
Non-AC Taxi,Yeshwanthpur,Basavanagudi,0.0,0.0
eBike,CV Raman Nagar,Kadugodi,1953.07,11.06
eBike,Jayanagar,Sarjapur Road,75.42,22.49
Premier,Dasarahalli,Whitefield,1990.83,20.88
Uber Go,Rajajinagar,Vijayanagar,0.0,0.0
Premier,Anekal,Domlur,0.0,0.0
