Vehicle Type,Pickup Location,Drop Location,Ride Distance,Booking Value
eBike,Ghitorni,Pitampura,28.78,206.0
Bike,Okhla,Netaji Subhash Place,17.34,633.0
Auto,DLF City Court,Udyog Vihar Phase 4,9.38,717.0
Go Sedan,Rajiv Nagar,Ramesh Nagar,11.9,151.0
Premier Sedan,Sohna Road,New Delhi Railway Station,35.66,512.0
Premier Sedan,Lajpat Nagar,Chirag Delhi,21.79,1390.0
Bike,Moolchand,Karol Bagh,7.86,224.0
Bike,Moolchand,Karol Bagh,7.86,224.0
Auto,Uttam Nagar,Vaishali,18.04,708.0
Auto,INA Market,IFFCO Chowk,15.18,153.0
Bike,IIT Delhi,Mansarovar Park,13.38,72.0
Premier Sedan,Munirka,Saidulajab,30.9,696.0
Premier Sedan,Munirka,Saidulajab,30.9,696.0
Auto,IGNOU Road,Tis Hazari,44.25,2169.0
eBike,Meerut,Udyog Bhawan,45.46,136.0
Go Mini,Punjabi Bagh,Saket A Block,2.91,214.0
Go Mini,Akshardham,Mayur Vihar,37.57,835.0
Go Sedan,IMT Manesar,Ashram,40.18,705.0
Go Sedan,Azadpur,Khan Market,20.22,480.0
Go Mini,Cyber Hub,Old Gurgaon,44.76,707.0
eBike,Sikanderpur,Greater Noida,43.34,865.0
Bike,Mayur Vihar,IGNOU Road,5.97,768.0
Bike,Rohini West,Yamuna Bank,27.96,626.0
Go Mini,Mandi House,Bahadurgarh,21.19,443.0
Go Sedan,Aya Nagar,Chandni Chowk,47.63,226.0
Auto,Shastri Nagar,Saket A Block,24.4,449.0
Go Mini,Vinobapuri,Shastri Park,7.49,778.0
Bike,Rohini West,Yamuna Bank,24.44,361.0
Auto,Kashmere Gate ISBT,New Colony,9.2,235.0
Go Sedan,Rohini,Botanical Garden,28.09,186.0
Bike,Faridabad Sector 15,Vinobapuri,40.1,86.0
Premier Sedan,Malviya Nagar,Chanakyapuri,42.5,234.0
Go Sedan,Vaishali,Tilak Nagar,41.42,758.0
Auto,Maidan Garhi,Panchsheel Park,31.69,273.0
Auto,Yamuna Bank,Nirman Vihar,33.74,117.0
Go Sedan,Khan Market,Central Secretariat,36.82,955.0
Go Sedan,Pragati Maidan,Jama Masjid,38.75,139.0
Go Mini,Mansarovar Park,Rohini,17.07,255.0
Auto,Rithala,Aya Nagar,19.18,1212.0
Go Sedan,Shastri Park,Indraprastha,23.93,81.0
Go Sedan,Shastri Park,Indraprastha,23.93,81.0
Auto,Cyber Hub,Udyog Bhawan,29.09,940.0
eBike,Saidulajab,Hauz Khas,27.55,98.0
Premier Sedan,Tughlakabad,Meerut,14.0,724.0
eBike,Kashmere Gate,Karkarduma,47.3,749.0
Auto,Shastri Park,Barakhamba Road,14.59,244.0
Auto,Shastri Park,Barakhamba Road,14.59,244.0
Auto,Tilak Nagar,Azadpur,34.14,585.0
Auto,DLF Phase 3,Udyog Vihar Phase 4,31.79,554.0
Bike,Laxmi Nagar,Sohna Road,25.01,803.0
Go Mini,Huda City Centre,Akshardham,17.56,388.0
Go Mini,Uttam Nagar,Greater Kailash,48.96,192.0
Go Mini,Mehrauli,Nawada,32.91,79.0
Bike,Lajpat Nagar,Okhla,45.7,242.0
Go Mini,Botanical Garden,Azadpur,38.32,323.0
Auto,Karol Bagh,Palam Vihar,9.1,799.0
Premier Sedan,Ramesh Nagar,Greater Kailash,49.26,134.0
Go Sedan,Nirman Vihar,Satguru Ram Singh Marg,8.21,113.0
Auto,Tughlakabad,Ramesh Nagar,11.94,81.0
Go Sedan,India Gate,Kashmere Gate,8.23,992.0
Premier Sedan,Maidan Garhi,Samaypur Badli,49.5,513.0
Premier Sedan,Barakhamba Road,Noida Film City,37.37,635.0
Uber XL,Kashmere Gate,Jor Bagh,35.38,242.0
Bike,Barakhamba Road,DLF City Court,34.81,1114.0
Bike,Gurgaon Sector 56,Cyber Hub,20.92,372.0
Go Mini,Ashram,Yamuna Bank,23.39,387.0
Go Mini,Ashram,Yamuna Bank,23.39,387.0
Go Sedan,Gurgaon Sector 29,Mansarovar Park,30.82,767.0
Auto,Shahdara,Paharganj,21.31,447.0
Auto,Shahdara,Paharganj,21.31,447.0
Premier Sedan,Sultanpur,Delhi Gate,20.41,500.0
Go Mini,Gurgaon Sector 29,Dilshad Garden,25.94,446.0
eBike,Huda City Centre,Aya Nagar,39.16,125.0
Go Sedan,Dilshad Garden,Subhash Nagar,23.79,419.0
Go Sedan,Basai Dhankot,Qutub Minar,41.93,477.0
Auto,Anand Vihar,IMT Manesar,6.71,352.0
Go Sedan,Munirka,Sushant Lok,15.63,117.0
Go Sedan,Tis Hazari,Arjangarh,29.8,51.0
Uber XL,Malviya Nagar,Sohna Road,5.59,81.0
Bike,Munirka,Tis Hazari,4.44,51.0
Go Sedan,Akshardham,IGNOU Road,26.93,469.0
Bike,Udyog Vihar Phase 4,Greater Kailash,28.78,320.0
Go Mini,Raj Nagar Extension,IMT Manesar,12.98,726.0
Go Sedan,Nawada,New Delhi Railway Station,43.06,455.0
Auto,Lajpat Nagar,Shivaji Park,38.96,995.0
Uber XL,Aya Nagar,Meerut,18.87,1179.0
Bike,Lok Kalyan Marg,Maidan Garhi,47.88,525.0
Go Sedan,Ramesh Nagar,Keshav Puram,5.7,300.0
Go Sedan,Maidan Garhi,Sarai Kale Khan,4.62,202.0
Premier Sedan,Greater Kailash,Green Park,42.26,475.0
Go Sedan,Sarojini Nagar,Saidulajab,19.49,833.0
Go Mini,Palam Vihar,Shahdara,40.36,158.0
Bike,GTB Nagar,Palam Vihar,42.59,155.0
Auto,Cyber Hub,Mundka,21.68,107.0
Go Mini,Adarsh Nagar,Rohini West,29.9,151.0
Go Mini,Golf Course Road,Bhikaji Cama Place,42.27,187.0
Go Mini,IIT Delhi,Basai Dhankot,49.71,1543.0
eBike,Punjabi Bagh,Gurgaon Sector 56,32.56,432.0
Go Mini,Ghaziabad,Udyog Vihar,31.49,54.0
Auto,Narsinghpur,Maidan Garhi,21.28,939.0
Auto,MG Road,GTB Nagar,34.14,829.0
Auto,Panchsheel Park,Gwal Pahari,20.66,314.0
Go Sedan,Badarpur,Tis Hazari,24.6,1249.0
Auto,Gurgaon Sector 29,South Extension,27.94,437.0
Go Mini,Dwarka Sector 21,Moolchand,44.57,83.0
Auto,Greater Kailash,Raj Nagar Extension,15.43,1444.0
Bike,Gwal Pahari,Golf Course Road,42.88,1368.0
Auto,Tagore Garden,Narsinghpur,23.31,418.0
Premier Sedan,Samaypur Badli,IGNOU Road,31.36,363.0
Premier Sedan,Samaypur Badli,IGNOU Road,31.36,363.0
Go Mini,AIIMS,Chandni Chowk,16.68,279.0
Go Mini,Hero Honda Chowk,AIIMS,49.06,332.0
Auto,Delhi Gate,Gurgaon Sector 29,28.34,448.0
Go Sedan,Badarpur,Ambience Mall,38.65,64.0
Go Sedan,Mandi House,Rohini,3.05,682.0
Go Mini,Mandi House,India Gate,41.81,488.0
Go Mini,Mandi House,India Gate,41.81,488.0
Go Sedan,Barakhamba Road,Ghaziabad,31.28,953.0
Go Sedan,Jor Bagh,Azadpur,34.5,965.0
Go Sedan,Khan Market,Green Park,13.1,405.0
Go Sedan,Udyog Vihar Phase 4,Kalkaji,9.93,423.0
Auto,Akshardham,Bahadurgarh,31.93,264.0
Go Mini,Shivaji Park,Hauz Khas,34.73,249.0
Auto,Jasola,Delhi Gate,31.51,628.0
Bike,Udyog Bhawan,Mundka,10.27,190.0
Bike,Udyog Bhawan,Mundka,10.27,190.0
Premier Sedan,Rajiv Chowk,Okhla,46.07,264.0
Bike,Panipat,New Colony,45.51,147.0
Auto,Vidhan Sabha,Kaushambi,34.9,953.0
Go Mini,AIIMS,Ashok Park Main,30.87,654.0
Go Sedan,Panchsheel Park,Sarai Kale Khan,37.07,427.0
Auto,Keshav Puram,Mayur Vihar,35.38,610.0
Auto,Keshav Puram,Mayur Vihar,35.38,610.0
Bike,Pragati Maidan,Raj Nagar Extension,19.61,648.0
Bike,Punjabi Bagh,Green Park,23.82,792.0
Go Mini,Keshav Puram,Tughlakabad,39.98,676.0
Bike,Raj Nagar Extension,Moolchand,27.16,389.0
Premier Sedan,Jhilmil,Malviya Nagar,48.45,74.0
Auto,Noida Sector 18,Malviya Nagar,25.05,465.0
Auto,Khan Market,New Delhi Railway Station,40.21,932.0
Premier Sedan,ITO,Noida Film City,44.48,191.0
Bike,India Gate,Shastri Nagar,6.82,770.0
Go Mini,Indraprastha,IGI Airport,16.21,514.0
Go Sedan,Botanical Garden,Mansarovar Park,12.9,349.0
eBike,Janakpuri,Golf Course Road,12.22,267.0
Go Mini,Samaypur Badli,Ghitorni,3.95,325.0
Go Sedan,Laxmi Nagar,Pragati Maidan,42.87,156.0
Bike,Lok Kalyan Marg,IGNOU Road,39.84,689.0
Auto,Munirka,Pulbangash,4.19,491.0
Go Sedan,Noida Sector 18,Tilak Nagar,6.18,304.0
Auto,Pitampura,Paschim Vihar,4.56,697.0
Auto,Pitampura,Paschim Vihar,4.56,697.0
Auto,Udyog Bhawan,Janakpuri,47.56,679.0
Go Mini,Anand Vihar,Gurgaon Sector 56,32.15,683.0
Go Mini,Anand Vihar,Gurgaon Sector 56,32.15,683.0
Go Sedan,Vatika Chowk,Paharganj,23.5,91.0
Go Sedan,Vatika Chowk,Paharganj,23.5,91.0
Go Sedan,Govindpuri,Kalkaji,18.14,769.0
Bike,Welcome,DLF Phase 3,31.1,323.0
Auto,Noida Extension,Old Gurgaon,13.99,134.0
Go Mini,Kanhaiya Nagar,Satguru Ram Singh Marg,5.04,940.0
Auto,Anand Vihar,Chirag Delhi,36.18,266.0
Auto,Mehrauli,Karol Bagh,13.21,484.0
Go Sedan,Indirapuram,Noida Sector 62,6.06,250.0
Go Mini,Basai Dhankot,Shivaji Park,48.08,224.0
Premier Sedan,Vatika Chowk,Saidulajab,39.51,669.0
Premier Sedan,Vatika Chowk,Saidulajab,39.51,669.0
Go Mini,GTB Nagar,Kalkaji,7.83,207.0
Go Sedan,Rajiv Nagar,Meerut,12.34,227.0
Premier Sedan,Panchsheel Park,Yamuna Bank,36.7,771.0
Auto,Sadar Bazar Gurgaon,Chanakyapuri,31.5,441.0
Premier Sedan,Lajpat Nagar,Rohini,4.26,788.0
Auto,Indraprastha,Panipat,46.74,459.0
Go Sedan,Panchsheel Park,Yamuna Bank,48.35,473.0
Bike,Noida Sector 62,DLF City Court,49.87,503.0
Go Mini,Badarpur,Botanical Garden,22.67,586.0
Go Mini,Preet Vihar,Cyber Hub,45.17,236.0
Go Mini,Kadarpur,Maidan Garhi,23.07,73.0
Premier Sedan,Malviya Nagar,Nehru Place,4.08,355.0
Auto,Pitampura,Yamuna Bank,41.97,663.0
Auto,Pitampura,Yamuna Bank,41.97,663.0
Auto,Kalkaji,Sultanpur,38.82,886.0
Auto,Anand Vihar ISBT,Hauz Khas,30.4,292.0
Auto,Gurgaon Sector 29,Rajouri Garden,19.78,564.0
Go Mini,Hero Honda Chowk,Satguru Ram Singh Marg,47.2,619.0
Go Mini,Khan Market,AIIMS,17.43,963.0
Go Mini,Khan Market,AIIMS,17.43,963.0
Auto,Jahangirpuri,Rajiv Nagar,14.43,427.0
Auto,Chhatarpur,Vatika Chowk,22.92,60.0
Bike,Dilshad Garden,Laxmi Nagar,32.15,697.0
Go Mini,Arjangarh,GTB Nagar,43.08,953.0
Go Mini,Chirag Delhi,IGNOU Road,48.91,342.0
Go Mini,Civil Lines Gurgaon,Sarai Kale Khan,32.46,935.0
Auto,IGNOU Road,Tughlakabad,11.44,566.0
Bike,Sultanpur,Netaji Subhash Place,42.18,459.0
Go Mini,South Extension,Sultanpur,40.16,401.0
Uber XL,Tis Hazari,Noida Film City,4.01,509.0
Uber XL,Tis Hazari,Noida Film City,4.01,509.0
eBike,Basai Dhankot,Chirag Delhi,15.59,905.0
Go Mini,GTB Nagar,Ghitorni,47.72,312.0
Auto,Meerut,Gurgaon Railway Station,34.36,103.0
Bike,Mundka,Moolchand,11.93,425.0
Premier Sedan,Netaji Subhash Place,Mayur Vihar,42.82,309.0
Auto,Netaji Subhash Place,Vatika Chowk,43.14,379.0
Go Mini,Green Park,Udyog Vihar Phase 4,40.59,623.0
Go Mini,Gwal Pahari,Pitampura,20.32,743.0
Premier Sedan,Cyber Hub,Narsinghpur,48.8,647.0
Go Mini,Pataudi Chowk,Golf Course Road,42.16,1364.0
Auto,Badshahpur,Vatika Chowk,47.98,890.0
Go Sedan,Pragati Maidan,Tilak Nagar,46.78,162.0
Auto,Jor Bagh,Shivaji Park,27.68,242.0
Premier Sedan,Sikanderpur,Karkarduma,27.62,342.0
Go Mini,Maidan Garhi,Ghitorni Village,17.92,316.0
Auto,New Colony,RK Puram,30.53,1286.0
Bike,Manesar,Civil Lines Gurgaon,45.97,689.0
Premier Sedan,Kashmere Gate,Gwal Pahari,24.06,504.0
Go Sedan,Jahangirpuri,Sultanpur,9.44,231.0
Premier Sedan,Mansarovar Park,IGNOU Road,24.98,824.0
Uber XL,Khan Market,Tilak Nagar,10.78,478.0
Bike,Panipat,Jasola,40.59,432.0
Bike,Saket,Rohini,5.75,606.0
Auto,Sultanpur,Bahadurgarh,42.66,328.0
Premier Sedan,Shastri Park,Rohini West,36.13,156.0
Go Sedan,Rithala,Noida Film City,44.08,105.0
Auto,Huda City Centre,Karkarduma,35.76,213.0
Bike,Kashmere Gate ISBT,Rajiv Chowk,45.0,620.0
Go Mini,South Extension,Vidhan Sabha,45.07,83.0
Go Mini,South Extension,Vidhan Sabha,45.07,83.0
Bike,Ashok Vihar,Rohini,3.86,821.0
Premier Sedan,Pitampura,Delhi Gate,49.18,176.0
Auto,DLF City Court,Pitampura,14.49,82.0
Uber XL,Nehru Place,Rajiv Chowk,15.3,221.0
Bike,Sohna Road,IGNOU Road,15.53,901.0
Go Sedan,Saket A Block,Gurgaon Railway Station,6.84,1523.0
Premier Sedan,Yamuna Bank,Dilshad Garden,27.22,582.0
Auto,AIIMS,Jasola,31.65,133.0
Auto,AIIMS,Jasola,31.65,133.0
Auto,Green Park,Aya Nagar,38.25,508.0
Bike,Madipur,Chhatarpur,12.14,999.0
Auto,Panchsheel Park,Janakpuri,9.76,713.0
Premier Sedan,Mandi House,Sadar Bazar Gurgaon,10.63,96.0
Auto,Kanhaiya Nagar,Narsinghpur,15.32,595.0
Auto,Ghitorni Village,Rajiv Nagar,8.76,256.0
Auto,Adarsh Nagar,Connaught Place,22.4,449.0
Premier Sedan,Pataudi Chowk,Greater Kailash,12.73,373.0
Go Mini,Badshahpur,Preet Vihar,28.77,445.0
Premier Sedan,Mehrauli,Rithala,8.86,1563.0
Go Sedan,Indirapuram,Botanical Garden,30.28,486.0
Premier Sedan,Noida Film City,Tilak Nagar,40.38,480.0
Bike,Jahangirpuri,Uttam Nagar,45.56,162.0
Bike,Udyog Vihar Phase 4,Vinobapuri,47.18,964.0
Bike,Kherki Daula Toll,Mandi House,46.93,68.0
Auto,Munirka,GTB Nagar,43.81,77.0
Auto,Pragati Maidan,Ashok Vihar,38.53,1596.0
Bike,Chandni Chowk,Rohini West,33.61,983.0
Go Mini,Gurgaon Railway Station,Moti Nagar,24.62,68.0
Premier Sedan,Sikanderpur,Pulbangash,33.8,493.0
Auto,Sadar Bazar Gurgaon,Gurgaon Sector 56,32.09,745.0
Premier Sedan,Inderlok,Shastri Nagar,13.99,304.0
Premier Sedan,Inderlok,Shastri Nagar,13.99,304.0
Auto,Delhi Gate,Subhash Chowk,14.13,402.0
Go Mini,Panipat,Palam Vihar,34.86,320.0
Bike,Palam Vihar,Noida Film City,43.94,1247.0
Premier Sedan,Tagore Garden,Basai Dhankot,24.56,358.0
Auto,Rajouri Garden,RK Puram,32.14,86.0
Go Mini,Pitampura,Sadar Bazar Gurgaon,43.31,85.0
Go Sedan,Karol Bagh,Saket,30.94,311.0
Go Mini,Shastri Nagar,Udyog Vihar Phase 4,15.24,130.0
Go Mini,Rohini,Lajpat Nagar,27.38,367.0
Premier Sedan,Malviya Nagar,Sadar Bazar Gurgaon,4.5,420.0
Uber XL,Welcome,Nawada,9.87,510.0
Uber XL,Welcome,Nawada,9.87,510.0
Auto,Malviya Nagar,Govindpuri,16.5,83.0
Premier Sedan,Noida Extension,Kalkaji,41.88,158.0
Go Sedan,Jahangirpuri,Ashram,32.9,1211.0
Bike,GTB Nagar,Gwal Pahari,36.68,313.0
Bike,Bhiwadi,Vatika Chowk,20.38,97.0
Auto,Vaishali,Mehrauli,47.2,142.0
Go Sedan,Mehrauli,IIT Delhi,10.02,257.0
Auto,Raj Nagar Extension,Mayur Vihar,2.99,110.0
Go Sedan,Pataudi Chowk,Preet Vihar,31.32,585.0
Go Mini,IMT Manesar,Jahangirpuri,36.64,697.0
Go Sedan,Ghitorni,Manesar,47.01,1240.0
Premier Sedan,Gurgaon Sector 56,Indirapuram,15.11,777.0
Auto,Jhilmil,Kirti Nagar,38.26,95.0
Auto,Shivaji Park,Meerut,47.12,484.0
Go Sedan,Yamuna Bank,Jahangirpuri,2.17,485.0
Go Sedan,Tis Hazari,Chhatarpur,42.9,76.0
Auto,Huda City Centre,Sikanderpur,35.09,188.0
Premier Sedan,Nirman Vihar,Sushant Lok,45.58,443.0
Auto,Manesar,Rithala,34.44,144.0
Auto,Satguru Ram Singh Marg,Bhiwadi,14.3,118.0
Bike,Keshav Puram,Noida Film City,13.3,516.0
Auto,Arjangarh,Punjabi Bagh,22.68,600.0
Go Sedan,Kashmere Gate,Jama Masjid,20.88,339.0
Uber XL,India Gate,IGI Airport,28.23,533.0
Premier Sedan,Tilak Nagar,Qutub Minar,14.57,884.0
Go Mini,IFFCO Chowk,Chirag Delhi,6.69,446.0
Premier Sedan,Chhatarpur,Paharganj,10.62,675.0
Uber XL,Ghaziabad,Mandi House,19.99,407.0
Premier Sedan,Badarpur,Qutub Minar,12.04,219.0
eBike,Moolchand,Saket A Block,43.29,811.0
Go Sedan,Gurgaon Railway Station,Paschim Vihar,3.0,169.0
Go Sedan,Ashok Park Main,Uttam Nagar,28.36,379.0
Go Sedan,Ashok Park Main,Uttam Nagar,28.36,379.0
Uber XL,Subhash Chowk,Noida Extension,5.52,160.0
Go Sedan,Azadpur,Moti Nagar,11.93,153.0
Premier Sedan,Nirman Vihar,Patel Chowk,8.8,369.0
Auto,Rohini East,Basai Dhankot,19.2,360.0
Auto,Jor Bagh,Nirman Vihar,28.84,828.0
Go Sedan,Khan Market,Bhiwadi,33.08,791.0
Go Mini,Karkarduma,Ambience Mall,10.88,529.0
Premier Sedan,Lok Kalyan Marg,Preet Vihar,43.4,306.0
Auto,Ghaziabad,Moti Nagar,15.83,131.0
Go Sedan,Shastri Park,Narsinghpur,9.61,651.0
Go Sedan,Peeragarhi,Pulbangash,2.69,412.0
Auto,Vasant Kunj,Vatika Chowk,12.52,984.0
Auto,DLF Phase 3,Okhla,27.76,375.0
Auto,Jahangirpuri,Rohini,7.7,651.0
Auto,Pulbangash,Akshardham,23.21,415.0
Premier Sedan,Khandsa,Cyber Hub,29.21,727.0
Premier Sedan,Manesar,Mansarovar Park,30.45,302.0
Go Sedan,Madipur,Tagore Garden,2.09,392.0
Go Mini,Azadpur,Karkarduma,43.22,1052.0
Auto,Shivaji Park,Tagore Garden,48.69,921.0
Bike,Mandi House,Rohini West,25.96,189.0
Go Mini,Moti Nagar,Bhikaji Cama Place,19.14,115.0
Bike,Chanakyapuri,Mandi House,15.33,670.0
Bike,Kaushambi,Ghitorni Village,27.13,751.0
Bike,Kaushambi,Ghitorni Village,27.13,751.0
Auto,Tagore Garden,Kalkaji,16.32,517.0
Auto,Tagore Garden,Kalkaji,16.32,517.0
Go Mini,Faridabad Sector 15,Janakpuri,18.13,928.0
Go Mini,Pulbangash,Vasant Kunj,27.52,336.0
Go Sedan,Satguru Ram Singh Marg,Sushant Lok,4.96,476.0
Go Sedan,Satguru Ram Singh Marg,Sushant Lok,4.96,476.0
Bike,Nirman Vihar,Hero Honda Chowk,12.29,104.0
Auto,Chandni Chowk,Noida Sector 62,7.29,579.0
Go Mini,Karol Bagh,Chandni Chowk,44.75,181.0
Go Sedan,Chandni Chowk,IFFCO Chowk,46.07,1727.0
Auto,Moolchand,Punjabi Bagh,22.75,339.0
Auto,Sonipat,Dwarka Sector 21,31.3,833.0
Auto,Sonipat,Dwarka Sector 21,31.3,833.0
eBike,Khandsa,Faridabad Sector 15,11.62,221.0
Go Mini,Shahdara,New Delhi Railway Station,27.19,368.0
Go Sedan,Khandsa,Huda City Centre,10.34,770.0
Go Sedan,Khandsa,Huda City Centre,10.34,770.0
Premier Sedan,India Gate,Ghitorni Village,5.24,140.0
Auto,Connaught Place,Sushant Lok,31.52,249.0
Auto,Ashok Park Main,Kashmere Gate ISBT,19.44,163.0
Auto,Ashok Park Main,Kashmere Gate ISBT,19.44,163.0
Auto,Sushant Lok,Botanical Garden,32.47,1764.0
Bike,Lok Kalyan Marg,Govindpuri,39.56,354.0
Bike,Badarpur,Ghitorni Village,33.54,124.0
Go Sedan,Bhikaji Cama Place,ITO,6.69,537.0
eBike,Ghitorni,Old Gurgaon,20.15,1316.0
Auto,Jama Masjid,IFFCO Chowk,21.07,733.0
Premier Sedan,Vatika Chowk,Bahadurgarh,12.52,298.0
Auto,Rajouri Garden,Tughlakabad,43.87,858.0
Auto,Greater Noida,Badarpur,32.54,467.0
Go Sedan,Indraprastha,Welcome,16.85,823.0
Premier Sedan,Jahangirpuri,Kirti Nagar,30.16,413.0
Premier Sedan,Raj Nagar Extension,Seelampur,46.99,432.0
Auto,Jor Bagh,Madipur,30.43,455.0
Bike,South Extension,Faridabad Sector 15,42.68,450.0
Auto,Bahadurgarh,Manesar,20.76,770.0
Go Sedan,Ramesh Nagar,Jasola,6.58,875.0
Auto,Sadar Bazar Gurgaon,Green Park,16.41,141.0
Premier Sedan,Sadar Bazar Gurgaon,Paschim Vihar,10.89,212.0
Uber XL,Ashram,Noida Sector 62,49.26,630.0
Premier Sedan,Golf Course Road,Vaishali,46.6,263.0
Go Sedan,Rohini West,Qutub Minar,16.76,807.0
Premier Sedan,Vidhan Sabha,Shastri Nagar,45.71,418.0
Premier Sedan,Vidhan Sabha,Shastri Nagar,45.71,418.0
Auto,Sadar Bazar Gurgaon,Greater Noida,8.34,268.0
Uber XL,Pulbangash,Greater Noida,48.84,773.0
Go Sedan,Greater Noida,New Colony,34.83,137.0
Auto,Kirti Nagar,Sushant Lok,27.67,215.0
Premier Sedan,Indirapuram,Vatika Chowk,21.68,113.0
Auto,Mundka,Noida Sector 62,5.27,343.0
Go Mini,Peeragarhi,Patel Chowk,2.65,477.0
eBike,Shivaji Park,Azadpur,15.33,523.0
Bike,Udyog Bhawan,Raj Nagar Extension,48.96,601.0
Bike,Samaypur Badli,Paschim Vihar,35.76,2145.0
Bike,Green Park,Jama Masjid,36.19,313.0
Premier Sedan,Central Secretariat,India Gate,18.15,480.0
Premier Sedan,Pragati Maidan,RK Puram,18.58,953.0
Go Sedan,Central Secretariat,Lok Kalyan Marg,43.05,440.0
Auto,Raj Nagar Extension,Saket,42.69,62.0
Auto,Shivaji Park,Rohini,48.98,244.0
eBike,Kadarpur,Ghaziabad,37.9,375.0
Go Mini,Rohini East,Ashram,49.3,499.0
Premier Sedan,Model Town,Jahangirpuri,18.49,296.0
Auto,Maidan Garhi,Golf Course Road,33.22,167.0
Auto,Dilshad Garden,Rajiv Nagar,2.38,824.0
Auto,INA Market,Civil Lines Gurgaon,34.2,407.0
Go Sedan,RK Puram,Delhi Gate,3.59,752.0
Go Sedan,Azadpur,Karol Bagh,30.56,354.0
Go Sedan,Sikanderpur,Ashok Park Main,13.69,164.0
Go Sedan,Sikanderpur,Ashok Park Main,13.69,164.0
Bike,Kherki Daula Toll,Mansarovar Park,45.56,392.0
Bike,MG Road,Vatika Chowk,42.16,389.0
Auto,Subhash Nagar,Shivaji Park,38.28,474.0
Bike,New Delhi Railway Station,IMT Manesar,31.51,199.0
Auto,Delhi Gate,Preet Vihar,42.45,1428.0
eBike,Patel Chowk,Jor Bagh,16.06,85.0
Bike,Sarojini Nagar,Rajiv Nagar,38.24,550.0
Auto,Ashok Park Main,Noida Extension,22.13,988.0
Go Mini,Mansarovar Park,Faridabad Sector 15,20.08,112.0
Bike,Peeragarhi,Laxmi Nagar,45.98,81.0
Go Mini,Manesar,ITO,10.94,262.0
Auto,Moti Nagar,Punjabi Bagh,49.84,259.0
Premier Sedan,New Delhi Railway Station,Rohini West,24.97,1350.0
Premier Sedan,Pitampura,Kashmere Gate,32.94,302.0
Go Sedan,New Delhi Railway Station,Arjangarh,22.9,414.0
Go Sedan,Tughlakabad,Chandni Chowk,29.53,135.0
Auto,Ghitorni,Ashok Park Main,32.84,212.0
Auto,Kalkaji,Model Town,3.77,865.0
Premier Sedan,Huda City Centre,Shahdara,24.12,255.0
Go Mini,IMT Manesar,Kashmere Gate ISBT,38.01,273.0
Premier Sedan,Jor Bagh,India Gate,14.39,477.0
Auto,IGI Airport,Sarai Kale Khan,7.33,197.0
Go Mini,Green Park,Kadarpur,38.63,366.0
Go Mini,Green Park,Khan Market,42.13,1595.0
Go Sedan,Ashram,Ambience Mall,24.16,391.0
